Predictions,smiles,drugbank_id
0.8898317,CC1=NC=C(COP(O)(O)=O)C(C=O)=C1O,DB00114
0.16666068,N[C@@H](CC1=CNC=N1)C(O)=O,DB00117
0.04299307,C[S+](CC[C@H](N)C([O-])=O)C[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC2=C1N=CN=C2N,DB00118
0.94240016,CC(=O)C(O)=O,DB00119
0.5537423,N[C@@H](CC1=CC=CC=C1)C(O)=O,DB00120
0.014780455,[H][C@]12CS[C@@H](CCCCC(O)=O)[C@@]1([H])NC(=O)N2,DB00121
0.64499193,C[N+](C)(C)CCO,DB00122
0.017286198,NCCCC[C@H](N)C(O)=O,DB00123
0.046635803,N[C@@H](CCCNC(N)=N)C(O)=O,DB00125
0.14665456,[H][C@@]1(OC(=O)C(O)=C1O)[C@@H](O)CO,DB00126
0.011994975,NCCCNCCCCNCCCN,DB00127
0.02068138,N[C@@H](CC(O)=O)C(O)=O,DB00128
0.035293657,NCCC[C@H](N)C(O)=O,DB00129
0.018253539,N[C@@H](CCC(N)=O)C(O)=O,DB00130
0.9650445,NC1=C2N=CN([C@@H]3O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]3O)C2=NC=N1,DB00131
0.3652368,N[C@@H](CO)C(O)=O,DB00133
0.036150668,CSCC[C@H](N)C(O)=O,DB00134
0.88267946,N[C@@H](CC1=CC=C(O)C=C1)C(O)=O,DB00135
0.013750654,C[C@H](CCCC(C)(C)O)[C@@]1([H])CC[C@@]2([H])\\C(CCC[C@]12C)=C\\C=C1\\C[C@@H](O)C[C@H](O)C1=C,DB00136
0.50991386,N[C@@H](CSSC[C@H](N)C(O)=O)C(O)=O,DB00138
0.901869,OC(=O)CCC(O)=O,DB00139
0.009686779,CC1=C(C)C=C2N(C[C@H](O)[C@H](O)[C@H](O)CO)C3=NC(=O)NC(=O)C3=NC2=C1,DB00140
0.028192468,[H]C(=O)[C@H](NC(C)=O)[C@@H](O)[C@H](O)[C@H](O)CO,DB00141
0.047271896,N[C@@H](CCC(O)=O)C(O)=O,DB00142
0.4841043,NCC(O)=O,DB00145
0.25693762,CC1=NC=C(CO)C(C=O)=C1O,DB00147
0.21885647,CN(CC(O)=O)C(N)=N,DB00148
0.006621196,CC(C)C[C@H](N)C(O)=O,DB00149
0.946814,N[C@@H](CC1=CNC2=C1C=CC=C2)C(O)=O,DB00150
0.36543986,N[C@@H](CS)C(O)=O,DB00151
0.04086841,CC1=C(CCO)SC=[N+]1CC1=CN=C(C)N=C1N,DB00152
0.05704901,N[C@@H](CCCNC(N)=O)C(O)=O,DB00155
0.03375589,C[C@@H](O)[C@H](N)C(O)=O,DB00156
0.1637737,C[C@H](N)C(O)=O,DB00160
0.011566155,CC(C)[C@H](N)C(O)=O,DB00161
0.23333916,C\\C(=C/CO)\\C=C\\C=C(/C)\\C=C\\C1=C(C)CCCC1(C)C,DB00162
0.031513896,CC1=C(O)C(CO)=C(CO)C=N1,DB00165
0.81582224,OC(=O)CCCC[C@@H]1CCSS1,DB00166
0.0061695473,CC[C@H](C)[C@H](N)C(O)=O,DB00167
