drugbank_id,BindingAffinity
DB16124,-10.79
DB16035,-10.72
DB07274,-10.68
DB08896,-10.51
DB08730,-10.42
DB11845,-10.36
DB11697,-10.26
DB06997,-10.21
DB04849,-10.17
DB11885,-10.12
DB08351,-10.10
DB11963,-9.94
DB08389,-9.90
DB18104,-9.88
DB18444,-9.81
DB07054,-9.80
DB08043,-9.76
DB06166,-9.74
DB00619,-9.71
DB15449,-9.67
DB07249,-9.65
DB02491,-9.63
DB06938,-9.63
DB03154,-9.62
DB11832,-9.62
DB15183,-9.61
DB07937,-9.57
DB06995,-9.56
DB09078,-9.54
DB08683,-9.51
DB12183,-9.50
DB12302,-9.49
DB05294,-9.47
DB11694,-9.46
DB08240,-9.46
DB05424,-9.46
DB16773,-9.43
DB07226,-9.41
DB17099,-9.41
DB09330,-9.40
DB17029,-9.37
DB12114,-9.36
DB08402,-9.35
DB07751,-9.35
DB15245,-9.34
DB12376,-9.32
DB16775,-9.32
DB15431,-9.29
DB11679,-9.28
DB17170,-9.22
DB15327,-9.22
DB04879,-9.20
DB16172,-9.18
DB04607,-9.18
DB08391,-9.17
DB02504,-9.17
DB00317,-9.16
DB05944,-9.15
DB08916,-9.15
DB04608,-9.14
DB05524,-9.14
DB12174,-9.10
DB16883,-9.07
DB00530,-9.05
DB03078,-9.04
DB11800,-9.04
DB08095,-9.03
DB07761,-9.00
DB07595,-9.00
DB12072,-8.97
DB07755,-8.92
DB06321,-8.92
DB02848,-8.89
DB11518,-8.87
DB08036,-8.87
DB08392,-8.85
DB07612,-8.83
DB06347,-8.83
DB07280,-8.82
DB16081,-8.81
DB07982,-8.81
DB15550,-8.78
DB16823,-8.78
DB07750,-8.78
DB14795,-8.77
DB15227,-8.73
DB11763,-8.73
DB08577,-8.71
DB07562,-8.68
DB08079,-8.67
DB07889,-8.67
DB07655,-8.67
DB15102,-8.66
DB08553,-8.66
DB08222,-8.66
DB11764,-8.63
DB08339,-8.62
DB13113,-8.61
DB08056,-8.60
DB01254,-8.59
DB04669,-8.58
DB07745,-8.57
DB14914,-8.56
DB07248,-8.54
DB14650,-8.54
DB02104,-8.53
DB08564,-8.53
DB07504,-8.52
DB17143,-8.52
DB01157,-8.52
DB17026,-8.50
DB12368,-8.49
DB07773,-8.49
DB15033,-8.48
DB06436,-8.47
DB06932,-8.45
DB11689,-8.45
DB11967,-8.44
DB02984,-8.44
DB04452,-8.43
DB07501,-8.42
DB11666,-8.40
DB16774,-8.36
DB03916,-8.33
DB16273,-8.32
DB13109,-8.31
DB05585,-8.30
DB04768,-8.29
DB11737,-8.29
DB12706,-8.28
DB07480,-8.25
DB07175,-8.24
DB03987,-8.24
DB08042,-8.23
DB07460,-8.21
DB08262,-8.20
DB03217,-8.20
DB03695,-8.19
DB08536,-8.19
DB08534,-8.19
DB08393,-8.19
DB08055,-8.15
DB08094,-8.13
DB03878,-8.11
DB07300,-8.08
DB07698,-8.08
DB02402,-8.07
DB07267,-8.03
DB08006,-8.00
DB08513,-7.99
DB03171,-7.98
DB18282,-7.97
DB14770,-7.96
DB07210,-7.96
DB08535,-7.96
DB16191,-7.96
DB07251,-7.95
DB08537,-7.94
DB03365,-7.93
DB03060,-7.92
DB07301,-7.91
DB08146,-7.91
DB08519,-7.89
DB07662,-7.86
DB03351,-7.83
DB15499,-7.83
DB03828,-7.80
DB08317,-7.75
DB08462,-7.72
DB04518,-7.65
DB08440,-7.62
DB02642,-7.60
DB08397,-7.59
DB07159,-7.59
DB16683,-7.55
DB03490,-7.52
DB08008,-7.52
DB07972,-7.51
DB18298,-7.49
DB01962,-7.49
DB04059,-7.48
DB08203,-7.48
DB02495,-7.47
DB07337,-7.47
DB12966,-7.45
DB03628,-7.44
DB02514,-7.43
DB08113,-7.41
DB01123,-7.41
DB04170,-7.40
DB07268,-7.36
DB01947,-7.34
DB02480,-7.32
DB02833,-7.31
DB11473,-7.28
DB08300,-7.25
DB04328,-7.24
DB01299,-7.24
DB15456,-7.23
DB01799,-7.20
DB02707,-7.19
DB13320,-7.19
DB02795,-7.18
DB04714,-7.17
DB02197,-7.16
DB08325,-7.16
DB14212,-7.12
DB01581,-7.11
DB04123,-7.10
DB11397,-7.08
DB01785,-7.07
DB15671,-7.06
DB08145,-7.06
DB08441,-7.05
DB04176,-7.05
DB04317,-7.04
DB08144,-7.01
DB06753,-6.94
DB03347,-6.93
DB02053,-6.92
DB14126,-6.81
DB03211,-6.80
DB07674,-6.80
DB06821,-6.79
DB03165,-6.77
DB01832,-6.74
DB03306,-6.73
DB01679,-6.71
DB03113,-6.67
DB02257,-6.64
DB13868,-6.63
DB03248,-6.63
DB04491,-6.62
DB04687,-6.58
DB03937,-6.53
DB03999,-6.52
DB03945,-6.52
DB03108,-6.52
DB07862,-6.51
DB02515,-6.45
DB01819,-6.42
DB04734,-6.42
DB01077,-6.42
DB02948,-6.41
DB04326,-6.40
DB01756,-6.39
DB07164,-6.38
DB13051,-6.38
DB01779,-6.37
DB02908,-6.35
DB02423,-6.34
DB02522,-6.31
DB03307,-6.31
DB01798,-6.29
DB01733,-6.28
DB03976,-6.28
DB00828,-6.26
DB03379,-6.25
DB14078,-6.19
DB01709,-6.18
DB02811,-6.18
DB08843,-6.18
DB03135,-6.17
DB02263,-6.16
DB04510,-6.15
DB02726,-6.04
DB02897,-6.02
